"zip","city","county","state","pop"
"90012","Los Angeles","Los Angeles","CA",35913
"94040","Mountain View","Santa Clara","CA",35845
"95825","Sacramento","Sacramento","CA",35825
"92807","Anaheim","Orange","CA",35777
"91722","Covina","Los Angeles","CA",35708
"90266","Manhattan Beach","Los Angeles","CA",35573
"95820","Sacramento","Sacramento","CA",35477
"93612","Clovis","Fresno","CA",35450
"95973","Chico","Butte","CA",35445
"95821","Sacramento","Sacramento","CA",35430
"94401","San Mateo","San Mateo","CA",35414
"90621","Buena Park","Orange","CA",35398
"91768","Pomona","Los Angeles","CA",35389
"92394","Victorville","San Bernardino","CA",35365
"94124","San Francisco","San Francisco","CA",35363
"91780","Temple City","Los Angeles","CA",35351
"94621","Oakland","Alameda","CA",35287
"90260","Lawndale","Los Angeles","CA",35161
"94583","San Ramon","Contra Costa","CA",35102
"94523","Pleasant Hill","Contra Costa","CA",35096
"92706","Santa Ana","Orange","CA",35083
"92883","Corona","Riverside","CA",35072
"94115","San Francisco","San Francisco","CA",35004
"92103","San Diego","San Diego","CA",34878
"93561","Tehachapi","Kern","CA",34839
"94114","San Francisco","San Francisco","CA",34754
"93657","Sanger","Fresno","CA",34723
"91325","Northridge","Los Angeles","CA",34635
"94603","Oakland","Alameda","CA",34593
"96001","Redding","Shasta","CA",34571
"95361","Oakdale","Stanislaus","CA",34558
"91007","Arcadia","Los Angeles","CA",34523
"90277","Redondo Beach","Los Angeles","CA",34506
"94063","Redwood City","San Mateo","CA",34503
"91773","San Dimas","Los Angeles","CA",34496
"92240","Desert Hot Springs","Riverside","CA",34447
"90062","Los Angeles","Los Angeles","CA",34422
"92649","Huntington Beach","Orange","CA",34406
"93955","Seaside","Monterey","CA",34395
"91206","Glendale","Los Angeles","CA",34386
"91791","West Covina","Los Angeles","CA",34363
"92131","San Diego","San Diego","CA",34359
"91321","Newhall","Los Angeles","CA",34355
"95348","Merced","Merced","CA",34241
"92260","Palm Desert","Riverside","CA",34225
"93060","Santa Paula","Ventura","CA",34181
"92672","San Clemente","Orange","CA",34110
"92841","Garden Grove","Orange","CA",34061
"92881","Corona","Riverside","CA",33996
"92301","Adelanto","San Bernardino","CA",33967
"96002","Redding","Shasta","CA",33901
"91750","La Verne","Los Angeles","CA",33836
"93422","Atascadero","San Luis Obispo","CA",33806
"92116","San Diego","San Diego","CA",33767
"93555","Ridgecrest","Kern","CA",33742
"91423","Sherman Oaks","Los Angeles","CA",33737
"90504","Torrance","Los Angeles","CA",33721
"92595","Wildomar","Riverside","CA",33642
